the el
be ser
and y
of de
a un
in en
to a
have tener
it lo
I yo
that eso
for para
you tú
with con
on sobre
do hacer
say decir
this esto
they ellos
at en
but pero
we nosotros
his su
from de
not no
by por
she ella
or o
as como
what qué
go ir
their su
can poder
who quién
get obtener
if si
would gustaría
her su
all todo
my mi
make hacer
about sobre
know saber
will voluntad
as como
up arriba
one uno
time tiempo
there allí
year año
so así
think pensar
when cuándo
which cuál
who quién
me me
like gustar
out fuera
just justo
him él
into en
more más
your su
way camino
could podría
than que
first primero
been sido
now ahora
down abajo
find encontrar
any cualquier
new nuevo
work trabajo
part parte
take tomar
place lugar
see ver
need necesitar
last último
large grande
become convertirse
between entre
call llamar
theirs suyo
man hombre
day día
where dónde
thing cosa
here aquí
give dar
many muchos
most más
know conocer
through a través de
back atrás
work trabajar
life vida
child niño
own propio
father padre
mother madre
after después
need necesitar
mean significar
too también
under debajo
never nunca
good bueno
tell decir
very muy
set conjunto
high alto
own propio
play jugar
hold sostener
small pequeño
home hogar
read leer
hand mano
port puerto
large grande
big grande
write escribir
show mostrar
run correr
move mover
live vivir
right derecho
child niño
start empezar
grow crecer
study estudiar
learn aprender
buy comprar
call llamar
keep mantener
start empezar
talk hablar
end fin
hear oír
stop detener
love amar
help ayudar
talk hablar
begin empezar
look mirar
start comenzar
give dar
always siempre
only solo
happen pasar
write escribir
create crear
speak hablar
want querer
open abrir
write escribir
eat comer
drink beber
sleep dormir
ask preguntar
answer responder
run correr
live vivir
buy comprar
sell vender
find encontrar
build construir
understand entender
bring traer
give dar
change cambiar
finish terminar
learn aprender
pay pagar
work trabajar
believe creer
feel sentir
receive recibir
under debajo
change cambio
open abrir
close cerrar
win ganar
lose perder
lose perder
open abrir
close cerrar
clear claro
next siguiente
few pocos
question pregunta
answer respuesta
try intentar
remember recordar
write escribir
read leer
begin comenzar
speak hablar
end terminar
begin empezar
stop detener
ask preguntar
answer responder
offer ofrecer
search buscar
find encontrar
win ganar
lose perder
plan planificar
create crear
bigger más grande
smaller más pequeño
important importante
small pequeño
question pregunta
answer respuesta
quick rápido
slow lento
important importante
necessary necesario
necessary necesario
rich rico
poor pobre
happy feliz
sad triste
tired cansado
easy fácil
hard difícil
beautiful hermoso
ugly feo
clean limpio
dirty sucio
correct correcto
wrong incorrecto
yes sí
no no
please por favor
thank you gracias
sorry perdón
goodbye adiós
hello hola
welcome bienvenido
excuse me disculpe
how cómo
what qué
where dónde
who quién
why por qué
when cuándo
